id,memory_session_id,project,request,investigated,learned,completed,next_steps,files_read,files_edited,notes,prompt_number,discovery_tokens,created_at,created_at_epoch,meta_intent
1429,mem-1774872080264-6o663h,d:/github/shadow-folk,用户想排查为什么接入 ShadowFolk 的 HTTP MCP 认证仍然失败，即使已经给请求头加了 Bearer。,检查了远端 HTTP MCP 服务的初始化、鉴权与工具调用行为，核对了 nginx 转发链路，并查看了容器运行日志与实际请求头格式。,关键发现是此前 401 的直接原因确实可能是 Authorization 缺少 Bearer 前缀；同时服务端 HTTP MCP 接口本身在开发环境已验证可正常工作，说明问题更可能出在客户端配置或请求实际发出内容上。,完成了 HTTP MCP 端点开发、部署与联调验证；将 MCP 接入方式从 stdio 切到 HTTP，并验证了鉴权失败与成功场景。,建议直接抓取客户端实际发出的 Authorization 头确认是否真带有 Bearer 和空格；再复核 MCP 配置中的 headers 写法是否符合 Cursor 预期格式。,"/tmp/test-mcp.sh, e:/ugit/letsgodevelop-develop, e:/ugit/letsgodevelop-develop/letsgo, e:/ugit/letsgodevelop-develop/letsgo/plugins, e:/ugit/letsgodevelop-develop/letsgo/content/feature/home, e:/ugit/letsgodevelop-develop/letsgo/content/feature/ougccommon, e:/ugit/letsgodevelop-develop/letsgo/content/feature/chasecommon, e:/ugit/letsgodevelop-develop/letsgo/content/feature/ogc, e:/ugit/letsgodevelop-develop/letsgo/content/feature/commercial, e:/ugit/letsgodevelop-develop/letsgo/content/feature/bsp, e:/ugit/letsgodevelop-develop/letsgo/content/feature/chestcommon, e:/ugit/letsgodevelop-develop/letsgo/content/feature/chestpve, e:/ugit/letsgodevelop-develop/aiknowledge, e:/ugit/letsgodevelop-develop/letsgo/content/feature/community, e:/ugit/letsgodevelop-develop/letsgo/tools","d:\GitHub\shadow-folk\test-mcp.sh, /tmp/test-mcp.sh, /tmp/test-mcp-nginx.sh, C:\Users\minusjiang\.cursor\mcp.json, packages/server/src/mcp/tools.ts, packages/server/src/mcp/handlers.ts, packages/server/src/mcp/http.ts, src/index.ts, src/mcp/server.ts, package.json, deploy-dev.sh, LetsGoDevelop (root), AIKnowledge, BuildTools, LetsGo, OGC, map.json, ~/.cursor/mcp.json, packages/server/src/mcp/server.ts, C:\Users\minusjiang\.cursor\projects\d-GitHub-shadow-folk\assets\c__Users_minusjiang_AppData_Roaming_Cursor_User_workspaceStorage_2d8d5f7f52bf4ed0972b2253bfa6608f_images________17751882014117-788ef4a0-78d5-4c9d-bcb6-6701dc8533bd.png, C:\Users\minusjiang\.cursor\projects\d-GitHub-shadow-folk\assets\c__Users_minusjiang_AppData_Roaming_Cursor_User_workspaceStorage_2d8d5f7f52bf4ed0972b2253bfa6608f_images________17751880773551-33366907-28aa-4926-a8b2-71e63f5bfad4.png",,0,0,2026-04-03T04:22:41.848Z,1775190161848,用户的深层目的是让 Cursor 通过 HTTP 方式稳定接入远端 MCP 服务，完成可用的鉴权与工具调用。
1428,mem-1774872080264-6o663h,d:/github/shadow-folk,用户想确认为什么“yuantongliu”一直无法访问，并排查相关接入链路是否正常。,排查了远端 MCP 初始化请求、SSH/脚本执行异常、HTTP MCP 经 nginx 暴露后的可用性，以及当前项目/成员可见性与权限信息。,核心链路本身已验证可用，HTTP MCP 初始化、鉴权与工具列表返回正常；更可能的问题在于用户侧配置、令牌或权限范围，而不是服务端整体不可用。,完成了 HTTP MCP 接入验证与部署确认，将接入方式从 stdio 切到 HTTP，并整理了给他人接入所需的简要配置说明。,让 yuantongliu 按标准 HTTP MCP 方式重新配置并检查个人令牌是否有效；若仍无法访问，再核对其项目成员身份和权限是否已正确开通。,"/tmp/mcp_test.json, /tmp/test-mcp.sh, e:/ugit/letsgodevelop-develop, e:/ugit/letsgodevelop-develop/letsgo, e:/ugit/letsgodevelop-develop/letsgo/plugins, e:/ugit/letsgodevelop-develop/letsgo/content/feature/home, e:/ugit/letsgodevelop-develop/letsgo/content/feature/ougccommon, e:/ugit/letsgodevelop-develop/letsgo/content/feature/chasecommon, e:/ugit/letsgodevelop-develop/letsgo/content/feature/ogc, e:/ugit/letsgodevelop-develop/letsgo/content/feature/commercial, e:/ugit/letsgodevelop-develop/letsgo/content/feature/bsp, e:/ugit/letsgodevelop-develop/letsgo/content/feature/chestcommon, e:/ugit/letsgodevelop-develop/letsgo/content/feature/chestpve, e:/ugit/letsgodevelop-develop/aiknowledge, e:/ugit/letsgodevelop-develop/letsgo/content/feature/community, e:/ugit/letsgodevelop-develop/letsgo/tools","/tmp/mcp_test.json, /tmp/test-mcp.sh, d:\GitHub\shadow-folk\test-mcp.sh, /tmp/test-mcp-nginx.sh, C:\Users\minusjiang\.cursor\mcp.json, packages/server/src/mcp/tools.ts, packages/server/src/mcp/handlers.ts, packages/server/src/mcp/http.ts, src/index.ts, src/mcp/server.ts, package.json, deploy-dev.sh, LetsGoDevelop (root), AIKnowledge, BuildTools, LetsGo, OGC, map.json, ~/.cursor/mcp.json, packages/server/src/mcp/server.ts, C:\Users\minusjiang\.cursor\projects\d-GitHub-shadow-folk\assets\c__Users_minusjiang_AppData_Roaming_Cursor_User_workspaceStorage_2d8d5f7f52bf4ed0972b2253bfa6608f_images________17751882014117-788ef4a0-78d5-4c9d-bcb6-6701dc8533bd.png",,0,0,2026-04-03T03:51:14.796Z,1775188274796,用户的深层目的是定位某个成员无法接入系统的真正原因，并确认应采用稳定、可复制的接入方式。
1376,mem-1774872080264-6o663h,d:/github/shadow-folk,用户想确认远端 CVM 上的 MCP 接入是否已经不再使用 stdio，而改为走 HTTP 方式。,排查并验证了远端 MCP 的初始化握手、鉴权与工具调用链路是否能通过 HTTP 正常工作，同时检查了客户端配置是否已切换到 HTTP 接入。,关键发现是：远端 MCP 服务已经完成 HTTP 化并在开发环境可用，初始化与鉴权行为正常；对应客户端配置也已从 stdio 改成 HTTP，因此远端场景下不需要再依赖 stdio。,已完成 HTTP MCP 端点开发与部署验证，确认可通过反向代理访问；已同步完成客户端侧接入配置切换，并整理了他人接入所需的简要说明。,建议直接按 HTTP 方式接入远端 CVM 的 MCP；如需最终确认，可再用实际客户端做一次完整工具调用回归测试。,"/tmp/mcp_test.json, /tmp/test-mcp.sh, e:/ugit/letsgodevelop-develop, e:/ugit/letsgodevelop-develop/letsgo, e:/ugit/letsgodevelop-develop/letsgo/plugins, e:/ugit/letsgodevelop-develop/letsgo/content/feature/home, e:/ugit/letsgodevelop-develop/letsgo/content/feature/ougccommon, e:/ugit/letsgodevelop-develop/letsgo/content/feature/chasecommon, e:/ugit/letsgodevelop-develop/letsgo/content/feature/ogc, e:/ugit/letsgodevelop-develop/letsgo/content/feature/commercial, e:/ugit/letsgodevelop-develop/letsgo/content/feature/bsp, e:/ugit/letsgodevelop-develop/letsgo/content/feature/chestcommon, e:/ugit/letsgodevelop-develop/letsgo/content/feature/chestpve, e:/ugit/letsgodevelop-develop/aiknowledge, e:/ugit/letsgodevelop-develop/letsgo/content/feature/community, e:/ugit/letsgodevelop-develop/letsgo/tools","/tmp/mcp_test.json, /tmp/test-mcp.sh, d:\GitHub\shadow-folk\test-mcp.sh, /tmp/test-mcp-nginx.sh, C:\Users\minusjiang\.cursor\mcp.json, packages/server/src/mcp/tools.ts, packages/server/src/mcp/handlers.ts, packages/server/src/mcp/http.ts, src/index.ts, src/mcp/server.ts, package.json, deploy-dev.sh, LetsGoDevelop (root), AIKnowledge, BuildTools, LetsGo, OGC, map.json, ~/.cursor/mcp.json",,0,0,2026-03-31T15:10:53.875Z,1774969853875,用户的深层目的是确认远端部署后的 MCP 标准接入方式，避免继续沿用本地进程式的 stdio 方案。
1375,mem-1774872080264-6o663h,d:/github/shadow-folk,用户想确认：如果要把 MCP 提供给别人使用，是否只需要让对方配置一份 JSON 配置即可完成接入。,排查并验证了 HTTP 版 MCP 的初始化、鉴权和工具列表流程；同时检查了通过 nginx 暴露后的可用性，以及客户端侧从 stdio 改为 HTTP 配置后的接入方式。,关键结论是：若 MCP 已经以 HTTP 方式稳定暴露，对方通常只需按约定填写一份客户端 JSON 配置即可接入；前提是服务端地址、鉴权头和协议握手都已正确配置。另一个发现是，联调中的主要问题集中在脚本执行与引号/换行符这类环境细节，而不是 MCP 功能本身。,已完成 HTTP MCP 能力接入、开发环境部署与连通性验证；也已完成客户端配置切换验证，证明可通过统一 JSON 配置供他人使用。,建议整理一份对外接入说明，明确示例 JSON、URL、必需请求头和鉴权要求；再让目标使用方按该模板配置并做一次初始化联调。,"/tmp/mcp_test.json, /tmp/test-mcp.sh, e:/ugit/letsgodevelop-develop, e:/ugit/letsgodevelop-develop/letsgo, e:/ugit/letsgodevelop-develop/letsgo/plugins, e:/ugit/letsgodevelop-develop/letsgo/content/feature/home, e:/ugit/letsgodevelop-develop/letsgo/content/feature/ougccommon, e:/ugit/letsgodevelop-develop/letsgo/content/feature/chasecommon, e:/ugit/letsgodevelop-develop/letsgo/content/feature/ogc, e:/ugit/letsgodevelop-develop/letsgo/content/feature/commercial, e:/ugit/letsgodevelop-develop/letsgo/content/feature/bsp, e:/ugit/letsgodevelop-develop/letsgo/content/feature/chestcommon, e:/ugit/letsgodevelop-develop/letsgo/content/feature/chestpve, e:/ugit/letsgodevelop-develop/aiknowledge, e:/ugit/letsgodevelop-develop/letsgo/content/feature/community, e:/ugit/letsgodevelop-develop/letsgo/tools","/tmp/mcp_test.json, /tmp/test-mcp.sh, d:\GitHub\shadow-folk\test-mcp.sh, /tmp/test-mcp-nginx.sh, C:\Users\minusjiang\.cursor\mcp.json, packages/server/src/mcp/tools.ts, packages/server/src/mcp/handlers.ts, packages/server/src/mcp/http.ts, src/index.ts, src/mcp/server.ts, package.json, deploy-dev.sh, LetsGoDevelop (root), AIKnowledge, BuildTools, LetsGo, OGC, map.json",,0,0,2026-03-31T15:09:55.547Z,1774969795547,用户本质上是想把现有 MCP 能力标准化对外共享，尽量降低他人接入成本。
1363,mem-1774872080264-6o663h,d:/github/shadow-folk,用户想用新的 MCP 查询 ziyad 在 tank 上的工作进展与相关信息。,排查并验证了新的 HTTP 版 MCP 接入是否可用，包括初始化、鉴权与工具调用链路；同时查询了当前可访问的项目列表、项目成员与相关记忆，尝试检索“ziyadyao”相关记录。,新的 HTTP MCP 接入已打通并部署到开发环境，基础校验与工具发现可正常工作；当前已查到项目与成员信息，但未在现有项目记忆中找到“ziyadyao”的直接匹配记录。,完成了新 MCP 的连通性与配置切换验证；完成了项目、成员和相关记忆的初步查询。,建议用已可用的新 MCP 继续按 tank 项目维度查询任务、提交或工单；如需定位 ziyad，可再用成员标识、昵称或账号变体做一次更精确搜索。,"/tmp/mcp_test.json, /tmp/test-mcp.sh","/tmp/mcp_test.json, /tmp/test-mcp.sh, d:\GitHub\shadow-folk\test-mcp.sh, /tmp/test-mcp-nginx.sh, C:\Users\minusjiang\.cursor\mcp.json, packages/server/src/mcp/tools.ts, packages/server/src/mcp/handlers.ts, packages/server/src/mcp/http.ts, src/index.ts, src/mcp/server.ts, package.json, deploy-dev.sh",,0,0,2026-03-31T14:12:14.386Z,1774966334386,用户是想确认新 MCP 是否能用，并借此获取 ziyad 在 tank 项目上的实际工作内容或进展。
1335,mem-1774872080264-6o663h,d:/github/shadow-folk,用户想确认 MCP 是否已经配置完成并可正常使用。,排查了 MCP 的 HTTP 接入方式、鉴权要求、初始化握手失败原因，以及远程开发环境中的实际可用性；同时检查了客户端侧的 MCP 配置是否已写入。,已确认服务端 MCP HTTP 接口与共享工具层已经完成开发并部署到开发环境。远程验证表明服务可达，鉴权与初始化流程基本正常，之前的问题主要集中在请求头、请求体格式和脚本执行细节上。,完成了服务端 MCP 功能接入与开发环境部署，做了远程联调验证，并修改了 Cursor 的 MCP 配置以接入该服务。,建议让用户在本地 Cursor 中实际发起一次工具调用确认可用；如仍异常，再重点检查本地配置生效和鉴权信息是否正确。,"/app/packages/server/src/middleware/tof-auth.ts, /app/packages/server/src/mcp/http.ts, /app/packages/server/src/api/push.ts, /app/packages/server/src/middleware/auth-helper.ts, /tmp/mcp_test.json, /tmp/test-mcp.sh","/tmp/mcp_test.json, /tmp/test-mcp.sh, d:\GitHub\shadow-folk\test-mcp.sh, /tmp/test-mcp-nginx.sh, C:\Users\minusjiang\.cursor\mcp.json, packages/server/src/mcp/tools.ts, packages/server/src/mcp/handlers.ts, packages/server/src/mcp/http.ts, src/index.ts, src/mcp/server.ts, package.json, deploy-dev.sh",,0,0,2026-03-30T14:27:27.166Z,1774880847166,用户实际是想确认从服务端到客户端的 MCP 链路是否已经打通，自己是否可以直接开始使用。
1333,mem-1774872080264-6o663h,d:/github/shadow-folk,用户想确认远端环境是否已经完成提交并部署可用。,检查了远端服务启动与鉴权链路，核实了 HTTP MCP 接口的实现方式，并多次通过远程脚本与请求测试初始化流程、鉴权和 nginx 转发表现。,远端服务已启动且 HTTP MCP 接口已接入完成；初始化流程在正确请求头与合法鉴权下可通过，异常场景会按预期返回错误。,已完成 HTTP MCP 端点与共享工具层接入，并在远端完成联调验证；同时修正了测试脚本与本地客户端配置，确认部署后的接口可用。,建议再做一次业务侧端到端调用验证；如需对外交付，可补充一份简短的调用说明和验收结果。,"/app/packages/server/src/index.ts, /app/packages/server/src/middleware/tof-auth.ts, /app/packages/server/src/mcp/http.ts, /app/packages/server/src/api/push.ts, /app/packages/server/src/middleware/auth-helper.ts, /tmp/mcp_test.json, /tmp/test-mcp.sh","/tmp/mcp_test.json, /tmp/test-mcp.sh, d:\GitHub\shadow-folk\test-mcp.sh, /tmp/test-mcp-nginx.sh, C:\Users\minusjiang\.cursor\mcp.json, packages/server/src/mcp/tools.ts, packages/server/src/mcp/handlers.ts, packages/server/src/mcp/http.ts, src/index.ts, src/mcp/server.ts, package.json",,0,0,2026-03-30T14:25:14.008Z,1774880714008,用户想确认这次改造是否真正落地到远端，并且能稳定对外提供服务，而不只是代码改完。
1332,mem-1774872080264-6o663h,d:/github/shadow-folk,用户想要开始排查并打通远程 HTTP MCP 服务的鉴权与初始化调用。,检查了服务端入口、MCP 路由与认证中间件；多次通过远程请求验证 initialize 流程、请求头与 JSON 负载格式；同时核对了经由 nginx 转发后的可访问性与本地客户端配置。,关键问题不在服务未启动，而在鉴权链路与请求格式：接口要求有效登录态或 Bearer Token，且 initialize 请求对 Accept 头和 JSON 格式较敏感。远程服务本身可用，经 nginx 暴露的 HTTP MCP 端点也已基本验证通。,完成了远程服务实现与认证逻辑排查；验证了 MCP initialize 的主要失败原因；上传并调整了测试脚本；修改了本地 Cursor 的 MCP 配置以配合远程接入。,使用有效凭证再次做一次标准 initialize 调用，确认完整握手成功；再用客户端实际连通测试，逐项核对认证信息、请求头和代理转发配置。,"/app/packages/server/src/index.ts, /app/packages/server/src/middleware/tof-auth.ts, /app/packages/server/src/mcp/http.ts, /app/packages/server/src/api/push.ts, /app/packages/server/src/middleware/auth-helper.ts, /tmp/mcp_test.json, /tmp/test-mcp.sh","/tmp/mcp_test.json, /tmp/test-mcp.sh, d:\GitHub\shadow-folk\test-mcp.sh, /tmp/test-mcp-nginx.sh, C:\Users\minusjiang\.cursor\mcp.json",,0,0,2026-03-30T12:48:03.597Z,1774874883597,用户的深层目的是让本地开发工具能够稳定连接远程 MCP 服务，并明确失败究竟来自认证、协议格式还是客户端配置。
1331,mem-1774872080264-6o663h,d:/github/shadow-folk,用户想把 ShadowFolk 的 MCP 接入方式从本地 stdio 迁移为服务端 HTTP，并确认这种方案是否合理。,探索了 MCP 从 stdio 改为 HTTP 的改造路径，核查了开发环境服务健康状态、容器与反向代理配置，并确认现有本地 MCP 配置与相关包安装情况。,关键发现是当前“远程模式”本质上仍是本地 stdio 外壳加进程内 HTTP 转发，不是真正的远程 MCP；在现有开发环境下，优先采用无状态 HTTP JSON 模式更合理，能避免额外的 Nginx SSE 适配改动。,已完成方案论证，并给出服务端新增 MCP HTTP 入口、复用现有工具逻辑、沿用 Bearer 鉴权和采用 JSON 响应模式的设计建议。,先按无状态 `/api/mcp` JSON 方案落地一个最小可用版本；完成后再用 Cursor 实测工具调用链路，并视需要决定是否补充 SSE 流式支持。,"/opt/shadow-folk/dev/nginx/nginx.conf, /opt/shadow-folk/dev/nginx.conf, /opt/shadow-folk/dev/nginx.dev.conf, %USERPROFILE%/.cursor/mcp.json, C:\Users\minusjiang\.cursor\projects\d-GitHub-shadow-folk\mcps\user-shadow-folk\SERVER_METADATA.json, C:\Users\minusjiang\.cursor\projects\d-GitHub-shadow-folk\mcps\user-shadow-folk\tools\get_memories.json, C:\Users\minusjiang\.cursor\projects\d-GitHub-shadow-folk\mcps\user-shadow-folk\tools\get_memories_for_summary.json, C:\Users\minusjiang\.cursor\projects\d-GitHub-shadow-folk\mcps\user-shadow-folk\tools\get_memory_stats.json, C:\Users\minusjiang\.cursor\projects\d-GitHub-shadow-folk\mcps\user-shadow-folk\tools\get_projects.json, C:\Users\minusjiang\.cursor\projects\d-GitHub-shadow-folk\mcps\user-shadow-folk\tools\get_project_members.json, C:\Users\minusjiang\.cursor\projects\d-GitHub-shadow-folk\mcps\user-shadow-folk\tools\get_project_tasks.json, C:\Users\minusjiang\.cursor\projects\d-GitHub-shadow-folk\mcps\user-shadow-folk\tools\get_shadow.json, C:\Users\minusjiang\.cursor\projects\d-GitHub-shadow-folk\mcps\user-shadow-folk\tools\get_tasks.json, C:\Users\minusjiang\.cursor\projects\d-GitHub-shadow-folk\mcps\user-shadow-folk\tools\search_knowledge.json, C:\Users\minusjiang\.cursor\projects\d-GitHub-shadow-folk\mcps\user-shadow-folk\tools\search_memory.json, C:\Users\minusjiang\.cursor\projects\d-GitHub-shadow-folk\mcps\user-shadow-folk\tools\search_memory_like.json, C:\Users\minusjiang\.cursor\projects\d-GitHub-shadow-folk\mcps\user-shadow-folk\tools\search_project_memories.json, D:\GitHub\shadow-folk\shadow-task-summerizer-repo\shadowfolk-query-mcp","packages/server/src/mcp/server.ts, packages/server/src/index.ts, packages/server/src/mcp/tools.ts, packages/server/src/mcp/handlers.ts, packages/server/src/mcp/factory.ts, packages/server/src/mcp/http.ts, doc/mcp-security-design.md, package.json, Nginx 配置（新增 /mcp location，若选择 /mcp + SSE 方案）, Cursor MCP 客户端配置（URL 与 Authorization 头，令牌已脱敏为 [REDACTED]）, 后端 MCP 路由配置（/mcp 或 /api/mcp）, server.ts, http.ts, src/index.ts, src/mcp/server.ts",,0,0,2026-03-30T12:30:42.739Z,1774873842739,用户的深层目的是减少本地依赖和接入复杂度，让 Cursor 直接稳定调用开发服上的 MCP 服务。
1330,mem-1774872080264-6o663h,d:/github/shadow-folk,用户想把 TOF 中间件定位为网页端给人访问使用，并确认 MCP 应改为服务端 HTTP 接入而不是继续依赖本地 stdio。,探索了 MCP 从 stdio 迁移到 HTTP 的方案，比较了 JSON 与 SSE 两种接入模式，并检查了开发环境中的反向代理、服务健康状态和现有 MCP 配置。,关键发现是当前“远程模式”本质仍是本地 stdio 外壳加 HTTP 转发，不是真正的远程 MCP；在现有场景下优先采用无状态的 HTTP JSON 模式更稳妥，且基本不需要额外改动网关。,完成了接入方向的确认，形成了服务端新增 MCP HTTP 入口的设计建议，并给出了开发环境下推荐的接入方式。,按无状态方案实现服务端 `/api/mcp` 接口；随后让 Cursor 改为直连该接口并做一次联调验证。,"/opt/shadow-folk/dev/nginx/nginx.conf, /opt/shadow-folk/dev/nginx.conf, /opt/shadow-folk/dev/nginx.dev.conf, %USERPROFILE%/.cursor/mcp.json, C:\Users\minusjiang\.cursor\projects\d-GitHub-shadow-folk\mcps\user-shadow-folk\SERVER_METADATA.json, C:\Users\minusjiang\.cursor\projects\d-GitHub-shadow-folk\mcps\user-shadow-folk\tools\get_memories.json, C:\Users\minusjiang\.cursor\projects\d-GitHub-shadow-folk\mcps\user-shadow-folk\tools\get_memories_for_summary.json, C:\Users\minusjiang\.cursor\projects\d-GitHub-shadow-folk\mcps\user-shadow-folk\tools\get_memory_stats.json, C:\Users\minusjiang\.cursor\projects\d-GitHub-shadow-folk\mcps\user-shadow-folk\tools\get_projects.json, C:\Users\minusjiang\.cursor\projects\d-GitHub-shadow-folk\mcps\user-shadow-folk\tools\get_project_members.json, C:\Users\minusjiang\.cursor\projects\d-GitHub-shadow-folk\mcps\user-shadow-folk\tools\get_project_tasks.json, C:\Users\minusjiang\.cursor\projects\d-GitHub-shadow-folk\mcps\user-shadow-folk\tools\get_shadow.json, C:\Users\minusjiang\.cursor\projects\d-GitHub-shadow-folk\mcps\user-shadow-folk\tools\get_tasks.json, C:\Users\minusjiang\.cursor\projects\d-GitHub-shadow-folk\mcps\user-shadow-folk\tools\search_knowledge.json, C:\Users\minusjiang\.cursor\projects\d-GitHub-shadow-folk\mcps\user-shadow-folk\tools\search_memory.json, C:\Users\minusjiang\.cursor\projects\d-GitHub-shadow-folk\mcps\user-shadow-folk\tools\search_memory_like.json, C:\Users\minusjiang\.cursor\projects\d-GitHub-shadow-folk\mcps\user-shadow-folk\tools\search_project_memories.json, D:\GitHub\shadow-folk\shadow-task-summerizer-repo\shadowfolk-query-mcp","packages/server/src/mcp/server.ts, packages/server/src/index.ts, packages/server/src/mcp/tools.ts, packages/server/src/mcp/handlers.ts, packages/server/src/mcp/factory.ts, packages/server/src/mcp/http.ts, doc/mcp-security-design.md, package.json, Nginx 配置（新增 /mcp location，若选择 /mcp + SSE 方案）, Cursor MCP 客户端配置（URL 与 Authorization 头，令牌已脱敏为 [REDACTED]）, 后端 MCP 路由配置（/mcp 或 /api/mcp）, server.ts, http.ts, src/index.ts, src/mcp/server.ts",,0,0,2026-03-30T12:30:22.744Z,1774873822744,用户的深层目的是梳理 TOF 与 MCP 的职责边界，减少本地依赖，让 Cursor 能直接访问服务端能力。
